,State,CTYNAME,Year,Deaths_Total,Population,Mortality_Rate
91,Alabama,Etowah County,2003,5,103025,4.85319097306479e-05
92,Alabama,Etowah County,2004,5,103080,4.850601474582848e-05
93,Alabama,Etowah County,2005,5,103174,4.8461821776804234e-05
94,Alabama,Etowah County,2006,5,103528,4.829611312881539e-05
95,Alabama,Etowah County,2007,5,103893,4.8126437777328595e-05
96,Alabama,Etowah County,2008,16,104206,0.00015354202253229182
97,Alabama,Etowah County,2009,14,104239,0.00013430673740154838
98,Alabama,Etowah County,2010,5,104440,4.787437763309077e-05
99,Alabama,Etowah County,2011,14,104356,0.00013415615776764153
100,Alabama,Etowah County,2012,5,104271,4.795197130554037e-05
101,Alabama,Etowah County,2013,19,103891,0.00018288398417572264
102,Alabama,Etowah County,2014,17,103417,0.00016438303180328187
103,Alabama,Etowah County,2015,22,103033,0.00021352382246464725
104,Alabama,Franklin County,2003,5,30874,0.0001619485651357129
105,Alabama,Franklin County,2004,5,30768,0.0001625065002600104
106,Alabama,Franklin County,2005,5,30968,0.00016145698785843452
107,Alabama,Franklin County,2006,5,31134,0.0001605961328451211
108,Alabama,Franklin County,2007,5,31004,0.00016126951361114696
109,Alabama,Franklin County,2008,5,31459,0.00015893702914905115
110,Alabama,Franklin County,2009,5,31589,0.00015828294659533381
111,Alabama,Franklin County,2010,5,31746,0.0001575001575001575
112,Alabama,Franklin County,2011,5,31776,0.00015735146022155086
113,Alabama,Franklin County,2012,5,31699,0.0001577336824505505
114,Alabama,Franklin County,2013,10,31566,0.0003167965532535006
115,Alabama,Franklin County,2014,5,31572,0.0001583681743316863
116,Alabama,Franklin County,2015,5,31532,0.00015856907268806293
117,Alabama,Houston County,2003,5,91321,5.475191905476287e-05
118,Alabama,Houston County,2004,5,92593,5.3999762401045435e-05
119,Alabama,Houston County,2005,5,93903,5.324643515116663e-05
120,Alabama,Houston County,2006,5,95846,5.216701792458736e-05
121,Alabama,Houston County,2007,10,97727,0.00010232586695590779
122,Alabama,Houston County,2008,12,99183,0.00012098847584767551
123,Alabama,Houston County,2009,10,100500,9.950248756218905e-05
124,Alabama,Houston County,2010,13,101800,0.00012770137524557957
125,Alabama,Houston County,2011,12,102509,0.00011706289203874781
126,Alabama,Houston County,2012,5,103410,4.8351223285949136e-05
127,Alabama,Houston County,2013,17,103691,0.00016394865513882594
128,Alabama,Houston County,2014,12,104216,0.00011514546710677823
129,Alabama,Houston County,2015,10,104326,9.585338266587428e-05
130,Alabama,Jackson County,2003,5,53711,9.309080076706819e-05
131,Alabama,Jackson County,2004,5,53525,9.341429238673517e-05
132,Alabama,Jackson County,2005,5,53332,9.375234380859522e-05
133,Alabama,Jackson County,2006,5,53483,9.348765028139783e-05
134,Alabama,Jackson County,2007,5,53333,9.375058594116213e-05
135,Alabama,Jackson County,2008,5,53525,9.341429238673517e-05
136,Alabama,Jackson County,2009,5,53461,9.352612184583155e-05
137,Alabama,Jackson County,2010,5,53207,9.39725975905426e-05
138,Alabama,Jackson County,2011,5,53240,9.391435011269723e-05
139,Alabama,Jackson County,2012,11,53107,0.00020712900370949215
140,Alabama,Jackson County,2013,5,52986,9.436454912618427e-05
141,Alabama,Jackson County,2014,5,52592,9.507149376331001e-05
142,Alabama,Jackson County,2015,5,52229,9.573225602634552e-05
143,Alabama,Jefferson County,2003,69,657513,0.00010494089090253728
144,Alabama,Jefferson County,2004,63,656023,9.603321834752744e-05
145,Alabama,Jefferson County,2005,59,654919,9.008747646655541e-05
146,Alabama,Jefferson County,2006,86,655893,0.00013111894775519786
147,Alabama,Jefferson County,2007,93,655163,0.0001419494080099151
148,Alabama,Jefferson County,2008,83,656510,0.0001264261016587714
149,Alabama,Jefferson County,2009,129,658441,0.0001959173259259372
150,Alabama,Jefferson County,2010,70,658230,0.00010634580617717211
151,Alabama,Jefferson County,2011,109,658175,0.00016560945037414062
152,Alabama,Jefferson County,2012,108,658183,0.00016408810315672085
153,Alabama,Jefferson County,2013,116,659434,0.00017590843056317993
154,Alabama,Jefferson County,2014,210,660185,0.00031809265584646727
155,Alabama,Jefferson County,2015,177,660717,0.00026789079136755976
156,Alabama,Lauderdale County,2003,5,88103,5.675175646686265e-05
157,Alabama,Lauderdale County,2004,5,88732,5.6349456791236535e-05
158,Alabama,Lauderdale County,2005,5,89358,5.595469907562837e-05
159,Alabama,Lauderdale County,2006,5,90294,5.5374664983276854e-05
160,Alabama,Lauderdale County,2007,16,91107,0.00017561768030996522
161,Alabama,Lauderdale County,2008,16,92202,0.00017353202750482636
162,Alabama,Lauderdale County,2009,5,92526,5.40388647515293e-05
163,Alabama,Lauderdale County,2010,10,92738,0.00010783066272725312
164,Alabama,Lauderdale County,2011,12,92615,0.0001295686443880581
165,Alabama,Lauderdale County,2012,5,92687,5.39449976803651e-05
166,Alabama,Lauderdale County,2013,5,92738,5.391533136362656e-05
167,Alabama,Lauderdale County,2014,5,93049,5.373512880310374e-05
168,Alabama,Lauderdale County,2015,5,92524,5.4040032856339974e-05
169,Alabama,Lawrence County,2003,5,34488,0.00014497796334957087
170,Alabama,Lawrence County,2004,5,34318,0.00014569613613846962
171,Alabama,Lawrence County,2005,5,34435,0.0001452011035283868
172,Alabama,Lawrence County,2006,5,34028,0.00014693781591630423
173,Alabama,Lawrence County,2007,5,34293,0.00014580235033388739
174,Alabama,Lawrence County,2008,5,34196,0.00014621593168791673
175,Alabama,Lawrence County,2009,10,34315,0.0002914177473408131
176,Alabama,Lawrence County,2010,5,34314,0.00014571312000932564
177,Alabama,Lawrence County,2011,5,34026,0.00014694645271263153
178,Alabama,Lawrence County,2012,5,33782,0.0001480078148126221
179,Alabama,Lawrence County,2013,5,33553,0.00014901797156737103
180,Alabama,Lawrence County,2014,5,33423,0.00014959758250306676
181,Alabama,Lawrence County,2015,5,33116,0.00015098441840802028
182,Alabama,Lee County,2003,5,120071,4.164202846649066e-05
183,Alabama,Lee County,2004,5,122274,4.089176766933281e-05
184,Alabama,Lee County,2005,5,126133,3.964069672488564e-05
185,Alabama,Lee County,2006,5,129247,3.8685617461140296e-05
186,Alabama,Lee County,2007,5,131934,3.789773674716146e-05
187,Alabama,Lee County,2008,5,134524,3.716808896553775e-05
188,Alabama,Lee County,2009,10,138566,7.216777564481907e-05
189,Alabama,Lee County,2010,5,140815,3.550758086851543e-05
190,Alabama,Lee County,2011,5,144194,3.467550660915156e-05
191,Alabama,Lee County,2012,5,148670,3.363153292527074e-05
192,Alabama,Lee County,2013,10,151943,6.581415399195751e-05
193,Alabama,Lee County,2014,10,154682,6.464876326915866e-05
194,Alabama,Lee County,2015,14,157162,8.908005752026571e-05
195,Alabama,Limestone County,2003,5,68578,7.290967948904896e-05
196,Alabama,Limestone County,2004,5,69593,7.184630638138893e-05
197,Alabama,Limestone County,2005,5,71303,7.01232767204746e-05
198,Alabama,Limestone County,2006,5,73651,6.78877408317606e-05
199,Alabama,Limestone County,2007,5,76063,6.573498284316947e-05
200,Alabama,Limestone County,2008,10,78835,0.0001268472125325046
201,Alabama,Limestone County,2009,11,81326,0.00013525809704153653
202,Alabama,Limestone County,2010,13,83168,0.00015631011927664488
203,Alabama,Limestone County,2011,5,85553,5.844330415064346e-05
204,Alabama,Limestone County,2012,5,87336,5.725016030044884e-05
205,Alabama,Limestone County,2013,5,88931,5.6223364181219144e-05
206,Alabama,Limestone County,2014,5,90622,5.5174240250711744e-05
207,Alabama,Limestone County,2015,5,91596,5.45875365736495e-05
208,Alabama,Madison County,2003,5,291342,1.716196085699968e-05
209,Alabama,Madison County,2004,12,295655,4.058784732204766e-05
210,Alabama,Madison County,2005,13,301474,4.312146321075781e-05
211,Alabama,Madison County,2006,5,309170,1.6172332373774947e-05
212,Alabama,Madison County,2007,11,315859,3.4825665882561526e-05
213,Alabama,Madison County,2008,20,323526,6.181883372588292e-05
214,Alabama,Madison County,2009,27,330856,8.160649950431607e-05
215,Alabama,Madison County,2010,28,336114,8.330506911345555e-05
216,Alabama,Madison County,2011,25,339623,7.361103341057584e-05
217,Alabama,Madison County,2012,25,342823,7.292392867456384e-05
218,Alabama,Madison County,2013,19,346764,5.479230831343507e-05
219,Alabama,Madison County,2014,19,349973,5.4289902363896646e-05
220,Alabama,Madison County,2015,38,353194,0.00010758959665226476
221,Alabama,Marshall County,2003,5,84348,5.92782282923128e-05
222,Alabama,Marshall County,2004,5,85131,5.8733011476430444e-05
223,Alabama,Marshall County,2005,5,86516,5.7792778214434325e-05
224,Alabama,Marshall County,2006,5,88209,5.668355836706005e-05
225,Alabama,Marshall County,2007,5,89605,5.5800457563752025e-05
226,Alabama,Marshall County,2008,5,91072,5.4901616303583974e-05
227,Alabama,Marshall County,2009,5,92213,5.4222289698849406e-05
228,Alabama,Marshall County,2010,5,93119,5.3694734694315874e-05
229,Alabama,Marshall County,2011,5,93899,5.3248703394072354e-05
230,Alabama,Marshall County,2012,11,94264,0.00011669354154290079
231,Alabama,Marshall County,2013,13,94358,0.0001377731617880837
232,Alabama,Marshall County,2014,19,94262,0.0002015658483800471
233,Alabama,Marshall County,2015,24,94588,0.0002537319744576479
234,Alabama,Mobile County,2003,26,398082,6.531317668219111e-05
235,Alabama,Mobile County,2004,27,397959,6.784618515977777e-05
236,Alabama,Mobile County,2005,22,398942,5.5145860801820816e-05
237,Alabama,Mobile County,2006,33,402916,8.190292765737772e-05
238,Alabama,Mobile County,2007,49,405715,0.00012077443525627596
239,Alabama,Mobile County,2008,49,409196,0.00011974701609986412
240,Alabama,Mobile County,2009,50,411994,0.00012136099069403923
241,Alabama,Mobile County,2010,39,413328,9.435605620717687e-05
242,Alabama,Mobile County,2011,43,413126,0.000104084468176779
243,Alabama,Mobile County,2012,58,413893,0.00014013283626444515
244,Alabama,Mobile County,2013,57,414025,0.00013767284584264235
245,Alabama,Mobile County,2014,54,414298,0.00013034096230249724
246,Alabama,Mobile County,2015,64,414654,0.00015434555074833476
247,Alabama,Montgomery County,2003,5,222680,2.245374528471349e-05
248,Alabama,Montgomery County,2004,10,223002,4.4842647151146624e-05
249,Alabama,Montgomery County,2005,5,223608,2.2360559550642196e-05
250,Alabama,Montgomery County,2006,12,227291,5.279575522128021e-05
251,Alabama,Montgomery County,2007,5,227888,2.1940602401179527e-05
252,Alabama,Montgomery County,2008,5,227461,2.1981790284927964e-05
253,Alabama,Montgomery County,2009,11,227607,4.832891782765908e-05
254,Alabama,Montgomery County,2010,16,229498,6.971738315802317e-05
255,Alabama,Montgomery County,2011,5,229218,2.1813295639958467e-05
256,Alabama,Montgomery County,2012,15,228923,6.552421556593265e-05
257,Alabama,Montgomery County,2013,5,228261,2.1904749387762255e-05
258,Alabama,Montgomery County,2014,18,227647,7.90697878733302e-05
259,Alabama,Montgomery County,2015,12,227420,5.276580775657374e-05
260,Alabama,Morgan County,2003,5,112898,4.428776417651331e-05
261,Alabama,Morgan County,2004,11,113006,9.733996424968586e-05
262,Alabama,Morgan County,2005,10,113964,8.77470078270331e-05
263,Alabama,Morgan County,2006,12,115491,0.00010390420032729823
264,Alabama,Morgan County,2007,15,116397,0.0001288693007551741
265,Alabama,Morgan County,2008,17,117694,0.00014444236749536934
266,Alabama,Morgan County,2009,28,118954,0.00023538510684802528
267,Alabama,Morgan County,2010,13,119642,0.00010865749485966467
268,Alabama,Morgan County,2011,14,120058,0.0001166103050192407
269,Alabama,Morgan County,2012,18,120148,0.00014981522788560774
270,Alabama,Morgan County,2013,18,119625,0.00015047021943573669
271,Alabama,Morgan County,2014,5,119496,4.184240476668675e-05
272,Alabama,Morgan County,2015,20,119316,0.0001676221127091086
273,Alabama,Shelby County,2003,5,159704,3.1307919651355005e-05
274,Alabama,Shelby County,2004,5,165757,3.0164638597464965e-05
275,Alabama,Shelby County,2005,5,171691,2.9122085607282852e-05
276,Alabama,Shelby County,2006,17,178841,9.505650270351877e-05
277,Alabama,Shelby County,2007,26,183491,0.00014169632298041866
278,Alabama,Shelby County,2008,34,188534,0.00018033882482735208
279,Alabama,Shelby County,2009,28,192708,0.0001452975486227868
280,Alabama,Shelby County,2010,15,196036,7.651655818319084e-05
281,Alabama,Shelby County,2011,25,197968,0.00012628303564212397
282,Alabama,Shelby County,2012,34,200949,0.00016919715947827558
283,Alabama,Shelby County,2013,27,204088,0.0001322958723687821
284,Alabama,Shelby County,2014,37,206346,0.0001793104785166662
285,Alabama,Shelby County,2015,38,209047,0.000181777303668553
286,Alabama,St. Clair County,2003,5,68629,7.285549840446458e-05
287,Alabama,St. Clair County,2004,5,70416,7.100658941149738e-05
288,Alabama,St. Clair County,2005,5,72596,6.887431814425037e-05
289,Alabama,St. Clair County,2006,5,75948,6.583451835466372e-05
290,Alabama,St. Clair County,2007,10,79348,0.00012602712103644705
291,Alabama,St. Clair County,2008,5,81223,6.155891804045652e-05
292,Alabama,St. Clair County,2009,11,83009,0.00013251575130407547
293,Alabama,St. Clair County,2010,14,83587,0.00016749015995310275
294,Alabama,St. Clair County,2011,14,83992,0.00016668254119439946
295,Alabama,St. Clair County,2012,5,84779,5.897686927187157e-05
296,Alabama,St. Clair County,2013,17,85831,0.00019806363668138551
297,Alabama,St. Clair County,2014,21,86014,0.000244146301764829
298,Alabama,St. Clair County,2015,15,86569,0.00017327218750360984
299,Alabama,Talladega County,2003,5,80900,6.180469715698394e-05
300,Alabama,Talladega County,2004,5,81139,6.162264755542957e-05
301,Alabama,Talladega County,2005,5,81546,6.131508596375053e-05
302,Alabama,Talladega County,2006,5,81991,6.098230293568806e-05
303,Alabama,Talladega County,2007,5,82226,6.080801692895191e-05
304,Alabama,Talladega County,2008,5,82735,6.043391551338611e-05
305,Alabama,Talladega County,2009,5,82674,6.0478505938989284e-05
306,Alabama,Talladega County,2010,5,82175,6.0845756008518406e-05
307,Alabama,Talladega County,2011,5,81875,6.106870229007633e-05
308,Alabama,Talladega County,2012,10,82170,0.00012169891687963977
309,Alabama,Talladega County,2013,11,81604,0.00013479731385716387
310,Alabama,Talladega County,2014,5,81550,6.131207847946045e-05
311,Alabama,Talladega County,2015,5,81168,6.160063079045929e-05
312,Alabama,Tuscaloosa County,2003,5,169725,2.9459419649432907e-05
313,Alabama,Tuscaloosa County,2004,5,171960,2.9076529425447778e-05
314,Alabama,Tuscaloosa County,2005,10,175731,5.690515617620113e-05
315,Alabama,Tuscaloosa County,2006,22,181383,0.00012129030835304301
316,Alabama,Tuscaloosa County,2007,29,184350,0.00015730946569026308
317,Alabama,Tuscaloosa County,2008,31,188093,0.00016481208763749846
318,Alabama,Tuscaloosa County,2009,28,192792,0.0001452342420847338
319,Alabama,Tuscaloosa County,2010,22,195008,0.0001128158844765343
320,Alabama,Tuscaloosa County,2011,21,196788,0.00010671382401365937
321,Alabama,Tuscaloosa County,2012,27,198884,0.0001357575270006637
322,Alabama,Tuscaloosa County,2013,30,201192,0.00014911129667183586
323,Alabama,Tuscaloosa County,2014,22,203228,0.00010825279981104966
324,Alabama,Tuscaloosa County,2015,24,204953,0.00011710001805291944
325,Alabama,Walker County,2003,5,69105,7.235366471311772e-05
326,Alabama,Walker County,2004,5,68629,7.285549840446458e-05
327,Alabama,Walker County,2005,11,68500,0.00016058394160583942
328,Alabama,Walker County,2006,5,68234,7.327725180994812e-05
329,Alabama,Walker County,2007,19,67695,0.00028067065514439767
330,Alabama,Walker County,2008,32,67835,0.0004717328812559888
331,Alabama,Walker County,2009,30,67347,0.0004454541404962359
332,Alabama,Walker County,2010,32,66995,0.00047764758564071945
333,Alabama,Walker County,2011,35,66586,0.0005256360195836963
334,Alabama,Walker County,2012,23,66110,0.0003479050068068371
335,Alabama,Walker County,2013,26,65790,0.0003951968384252926
336,Alabama,Walker County,2014,21,65354,0.0003213269271964991
337,Alabama,Walker County,2015,5,64950,7.698229407236336e-05
338,Arkansas,Benton County,2003,5,171742,2.9113437598257852e-05
339,Arkansas,Benton County,2004,5,179010,2.7931400480420088e-05
340,Arkansas,Benton County,2005,10,186756,5.354580307995459e-05
341,Arkansas,Benton County,2006,10,195569,5.113284825304624e-05
342,Arkansas,Benton County,2007,13,203664,6.383062298688035e-05
343,Arkansas,Benton County,2008,12,210807,5.6924105935761146e-05
344,Arkansas,Benton County,2009,15,216620,6.924568368571692e-05
345,Arkansas,Benton County,2010,20,222601,8.984685603389024e-05
346,Arkansas,Benton County,2011,18,229208,7.853129035635754e-05
347,Arkansas,Benton County,2012,19,235010,8.084762350538275e-05
348,Arkansas,Benton County,2013,11,239559,4.591770712016664e-05
349,Arkansas,Benton County,2014,19,244962,7.756305059560258e-05
350,Arkansas,Benton County,2015,30,251759,0.00011916157912924663
351,Arkansas,Craighead County,2003,5,85000,5.882352941176471e-05
352,Arkansas,Craighead County,2004,5,86331,5.7916623229199245e-05
353,Arkansas,Craighead County,2005,5,87512,5.713502148276808e-05
354,Arkansas,Craighead County,2006,10,89725,0.00011145165784341042
355,Arkansas,Craighead County,2007,5,91350,5.4734537493158185e-05
356,Arkansas,Craighead County,2008,15,93316,0.00016074413819709373
357,Arkansas,Craighead County,2009,20,95482,0.00020946356381307472
358,Arkansas,Craighead County,2010,13,96751,0.0001343655362735269
359,Arkansas,Craighead County,2011,10,98420,0.0001016053647632595
360,Arkansas,Craighead County,2012,5,100018,4.999100161970845e-05
361,Arkansas,Craighead County,2013,10,101682,9.834582325288646e-05
362,Arkansas,Craighead County,2014,5,102707,4.8682173561685185e-05
363,Arkansas,Craighead County,2015,12,104509,0.00011482264685338105
364,Arkansas,Crawford County,2003,5,55836,8.954796188838742e-05
365,Arkansas,Crawford County,2004,5,56832,8.79786036036036e-05
366,Arkansas,Crawford County,2005,5,57779,8.653663095588362e-05
367,Arkansas,Crawford County,2006,5,59126,8.456516591685553e-05
368,Arkansas,Crawford County,2007,5,60210,8.304268393954493e-05
369,Arkansas,Crawford County,2008,11,60933,0.00018052615167479035
370,Arkansas,Crawford County,2009,13,61595,0.0002110560922152772
371,Arkansas,Crawford County,2010,5,61961,8.069592162812092e-05
372,Arkansas,Crawford County,2011,14,61816,0.00022647858159699754
373,Arkansas,Crawford County,2012,5,61940,8.072328059412334e-05
374,Arkansas,Crawford County,2013,11,61708,0.00017825889673948273
375,Arkansas,Crawford County,2014,5,61856,8.083290222452147e-05
376,Arkansas,Crawford County,2015,5,61963,8.069331697948776e-05
377,Arkansas,Faulkner County,2003,5,93618,5.340853254715973e-05
378,Arkansas,Faulkner County,2004,5,96162,5.199559077390237e-05
379,Arkansas,Faulkner County,2005,5,99192,5.04072909105573e-05
380,Arkansas,Faulkner County,2006,5,102969,4.855830395555944e-05
381,Arkansas,Faulkner County,2007,5,105637,4.73319007544705e-05
382,Arkansas,Faulkner County,2008,5,108477,4.609272011578491e-05
383,Arkansas,Faulkner County,2009,5,110813,4.512105980345266e-05
384,Arkansas,Faulkner County,2010,11,114035,9.646161266277897e-05
385,Arkansas,Faulkner County,2011,11,116307,9.457728253673468e-05
386,Arkansas,Faulkner County,2012,11,118572,9.277063724994096e-05
387,Arkansas,Faulkner County,2013,5,119251,4.1928369573420765e-05
388,Arkansas,Faulkner County,2014,13,120646,0.00010775326160834176
389,Arkansas,Faulkner County,2015,5,121333,4.1208904420067087e-05
390,Arkansas,Garland County,2003,5,90483,5.525899892797542e-05
391,Arkansas,Garland County,2004,5,91084,5.489438320671029e-05
392,Arkansas,Garland County,2005,5,92096,5.42911744266852e-05
393,Arkansas,Garland County,2006,5,94077,5.3147953272319485e-05
394,Arkansas,Garland County,2007,13,94753,0.00013719882220088018
395,Arkansas,Garland County,2008,12,95636,0.00012547576226525577
396,Arkansas,Garland County,2009,12,95840,0.00012520868113522537
397,Arkansas,Garland County,2010,24,96080,0.0002497918401332223
398,Arkansas,Garland County,2011,10,96884,0.00010321621733206721
399,Arkansas,Garland County,2012,10,97043,0.00010304710283070392
400,Arkansas,Garland County,2013,11,97734,0.00011255039188000082
401,Arkansas,Garland County,2014,15,97851,0.00015329429438636294
402,Arkansas,Garland County,2015,16,97930,0.00016338200755641784
403,Arkansas,Lonoke County,2003,5,56452,8.857082122865443e-05
404,Arkansas,Lonoke County,2004,5,58449,8.554466286848363e-05
405,Arkansas,Lonoke County,2005,5,60225,8.302200083022001e-05
406,Arkansas,Lonoke County,2006,5,62648,7.981100753415911e-05
407,Arkansas,Lonoke County,2007,5,64379,7.766507712142158e-05
408,Arkansas,Lonoke County,2008,5,66086,7.565898980116818e-05
409,Arkansas,Lonoke County,2009,5,67481,7.409493042486033e-05
410,Arkansas,Lonoke County,2010,5,68739,7.27389109530252e-05
411,Arkansas,Lonoke County,2011,5,69537,7.190416612738542e-05
412,Arkansas,Lonoke County,2012,5,70131,7.129514765225079e-05
413,Arkansas,Lonoke County,2013,10,70775,0.00014129282938890852
414,Arkansas,Lonoke County,2014,13,71408,0.00018205243110015683
415,Arkansas,Lonoke County,2015,5,71409,7.001918525676035e-05
416,Arkansas,Pulaski County,2003,18,365258,4.928023479294088e-05
417,Arkansas,Pulaski County,2004,35,366608,9.546982062584559e-05
418,Arkansas,Pulaski County,2005,41,368274,0.00011133015092023873
419,Arkansas,Pulaski County,2006,32,371647,8.610321084254683e-05
420,Arkansas,Pulaski County,2007,27,373403,7.230793539419877e-05
421,Arkansas,Pulaski County,2008,30,376567,7.966709775418452e-05
422,Arkansas,Pulaski County,2009,28,380053,7.367393495117786e-05
423,Arkansas,Pulaski County,2010,55,383569,0.0001433901071254455
424,Arkansas,Pulaski County,2011,34,387081,8.783691268752535e-05
425,Arkansas,Pulaski County,2012,40,389392,0.00010272424703126926
426,Arkansas,Pulaski County,2013,48,391745,0.00012252868575221126
427,Arkansas,Pulaski County,2014,38,393210,9.664047201241067e-05
428,Arkansas,Pulaski County,2015,36,393857,9.140373282688895e-05
429,Arkansas,Saline County,2003,5,88627,5.641621627720672e-05
430,Arkansas,Saline County,2004,5,90961,5.4968612922021527e-05
431,Arkansas,Saline County,2005,10,93493,0.0001069598793492561
432,Arkansas,Saline County,2006,10,96661,0.0001034543404268526
433,Arkansas,Saline County,2007,5,100043,4.9978509241026356e-05
